site_no,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
175711066143600,2.0345454545454547,1.8928571428571428,2.5142857142857147,2.1989999999999994,2.4641666666666664,2.065,2.234,1.8872727272727277,1.947142857142857,2.3489999999999998,2.195,1.669090909090909
175711066143601,5.295,5.734285714285716,5.831428571428572,6.045000000000001,6.28625,5.318888888888889,6.835454545454547,5.758181818181819,6.008571428571428,5.921111111111111,6.516666666666667,5.505000000000001
175721066151400,1.618181818181818,1.6481818181818182,2.2142857142857144,1.8719999999999999,2.323846153846154,1.7822222222222222,1.717,1.748,1.9949999999999999,1.3584615384615382,1.706,1.0615384615384615
175721066151401,7.683999999999999,7.77,8.620000000000001,8.322,9.369999999999997,8.428888888888888,9.117999999999999,8.676,8.955,6.752499999999999,7.949999999999998,6.396923076923078
175735066151800,9.709999999999999,10.339333333333334,10.472499999999998,10.308571428571428,10.640833333333333,10.214166666666666,10.366,10.475333333333335,10.144166666666667,9.501428571428573,9.891818181818183,9.62076923076923
175833066145800,53.9878947368421,55.74826086956522,55.435454545454554,57.54130434782608,58.07187499999999,57.58105263157895,57.87263157894738,56.945652173913054,59.23684210526316,56.55840000000001,54.97,53.4415
175848066170700,27.010000000000005,27.828571428571426,27.33466666666666,28.3535294117647,28.570833333333336,28.921666666666667,29.504166666666663,30.136874999999996,30.73538461538462,29.657333333333334,28.540833333333335,27.354999999999997
175910066155500,35.466923076923074,37.097894736842115,35.831176470588225,39.693749999999994,39.7125,40.67,40.80928571428571,41.3421052631579,42.668124999999996,37.57722222222222,37.596000000000004,36.053749999999994
175947066130601,15.609999999999998,16.348749999999995,17.92888888888889,18.09925925925926,19.704666666666665,18.0968,16.141739130434786,18.6771875,17.476666666666667,16.14576923076923,15.367599999999998,13.977333333333336
175957066123400,45.38307692307693,45.65588235294118,46.253571428571426,46.56636363636364,46.87250000000001,46.85076923076924,47.31272727272728,47.19916666666666,47.029999999999994,46.654545454545456,46.38666666666666,43.499333333333325
180002066132200,24.706666666666663,24.83444444444445,26.81571428571429,27.7,26.45,25.84181818181818,26.382222222222218,28.007777777777775,28.529230769230768,26.755000000000003,25.3575,22.442857142857143
180104066152300,27.651,28.04190476190476,29.700000000000003,29.374444444444446,29.826315789473686,29.696111111111108,30.6625,30.982499999999998,29.501875000000005,26.26470588235294,26.225,27.194374999999997
180206066135500,12.135333333333334,13.004615384615384,12.551538461538463,13.294615384615383,14.143846153846154,14.371666666666668,15.075555555555557,13.628,13.12,11.747857142857145,11.586363636363636,11.995454545454544
