site_no,lev_dt,lev_va,alt_va,gw_elev,bxc_gw_elev
175708066163000,2002-07-31,0.94,1.66,0.72,6.559641834934512
175735066151800,2002-07-31,13.15,14.8,1.6500000000000004,6.751377264454084
175748066160400,2002-07-31,27.57,25.37,-2.1999999999999993,5.924529928714599
175804066150700,2002-07-31,50.1,32.12,-17.980000000000004,0.0
175811066150500,2002-07-31,48.76,36.82,-11.939999999999998,3.2121508124044986
175815066153700,2002-07-31,41.61,41.82,0.21000000000000085,6.452472764347526
175820066144800,2002-07-31,29.14,47.94,18.799999999999997,9.696255839125108
175821066182100,2002-07-31,5.37,11.2,5.829999999999999,7.561632259732512
175823066162400,2002-07-31,38.21,39.37,1.1599999999999966,6.65093518077616
175823066164600,2002-07-31,23.35,26.25,2.8999999999999986,7.002063235638571
175824066142300,2002-07-31,23.02,44.81,21.790000000000003,10.130513825685517
175827066141000,2002-07-31,33.32,41.0,7.68,7.8971776886017295
175837066165400,2002-07-31,40.32,40.0,-0.3200000000000003,6.339502281286066
175845066164500,2002-07-31,37.9,43.82,5.920000000000002,7.578254540660921
175848066142600,2002-07-31,39.14,58.1,18.96,9.719941736830805
175851066145700,2002-07-31,51.3,72.2,20.900000000000006,10.003056115044917
175851066153000,2002-07-31,38.8,60.92,22.120000000000005,10.177401232610036
175854066143100,2002-07-31,42.16,62.3,20.14,9.893027093850113
175854066144500,2002-07-31,51.52,73.32,21.79999999999999,10.131937581254757
175857066123100,2002-07-31,4.68,55.8,51.12,13.71808668418599
175858066151600,2002-07-31,50.16,70.8,20.64,9.96553965534133
175908066180500,2002-07-31,30.12,31.07,0.9499999999999993,6.607495559612657
175909066185200,2002-07-31,13.7,13.1,-0.5999999999999996,6.2791383008852115
175910066122300,2002-07-31,6.66,98.4,91.74000000000001,17.549578267782042
175910066155500,2002-07-31,45.12,72.18,27.06000000000001,10.856937658947679
175912066162500,2002-07-31,40.4,64.2,23.800000000000004,10.41308870715055
175917066162000,2002-07-31,52.01,72.5,20.490000000000002,9.94383665347331
175921066144500,2002-07-31,64.45,87.84,23.39,10.35602521153791
175928066141900,2002-07-31,42.67,88.59,45.92,13.149957979337964
175931066160100,2002-07-31,54.92,83.6,28.679999999999993,11.071355348685085
175944066142100,2002-07-31,35.46,108.28,72.82,15.877736711087014
