agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,coord_acy_cd,dec_lat_va,dec_long_va,coord_acy_cd_1,coord_datum_cd,well_depth_va,hole_depth_va,qw_end_date,qw_count_nu,gw_begin_date,gw_end_date,gw_count_nu
USGS,"175711066143600","PIEZOMETER JBNERR EAST 1 SALINAS, PR",GW-MW,175710.8,661435.7,"5",17.9510227,-66.24286198,"5",NAD27,74,75,2015-09-23,"7",2005-11-18,2019-01-15,"119"
USGS,"175711066143601","PIEZOMETER JBNERR EAST 2 SALINAS, PR",GW-MW,175710.79,661435.73,"5",17.95101992,-66.2428703,"5",NAD27,17,17,2008-05-14,"2",2005-11-18,2019-03-19,"111"
USGS,"175715066161300","PIEZOMETER USGS J-16, SALINAS, PR",GW,175715,661613,S,17.9521893,-66.2698902,S,NAD27,25,105,1967-04-19,"1",1966-07-14,1966-07-14,"1"
USGS,"175717066144600","PIEZOMETER RIPARIAN 2, SALINAS, PR",GW-TH,175717.3,661445.7,"5",17.95282817,-66.2456398,"5",NAD27,10,10,--,"0",2010-04-29,2010-04-29,"1"
USGS,"175735066151800","PIEZOMETER C RASA, SALINAS, PR",GW-TH,175735,661518,"5",17.9577446,-66.2546122,"5",NAD27,82,104,2008-04-16,"9",1985-08-29,2009-03-04,"150"
USGS,"175811066150500","AGUIRRE 1B WELL, SALINAS, PR",GW,175810.8,661509.4,"5",17.96768862,-66.2522232,"5",NAD27,,,--,"0",1985-08-01,2015-10-07,"3"
USGS,"175833066145800","PIEZOMETER A RASA, SALINAS, PR",GW-TH,175925,661453.6,"5",17.98829883,-66.24783428,"5",NAD27,,75,2008-05-14,"9",1985-08-28,2019-03-20,"269"
USGS,"175848066170700","PIEZOMETER RASA G SALINAS, PR",GW,175848.1,661707.2,"5",17.97804929,-66.2849459,"5",NAD27,167,167,2008-05-14,"4",1986-03-17,2015-10-09,"164"
USGS,"175910066155500","PIEZOMETER RASA D, SALINAS, PR",GW-TH,175910.8,661556.2,"5",17.98435456,-66.26522337,"5",NAD27,,87,2008-04-03,"5",1985-08-01,2019-03-20,"191"
USGS,"175947066130601","PIEZOMETER AGUIRRE HW 5B, SALINAS, PR",GW,175946,661259,S,17.99413195,-66.2160005,S,NAD27,51,52,2008-04-03,"6",1987-09-01,2019-01-29,"299"
USGS,"175957066123400","PIEZOMETER AGUIRRE HW 13, SALINAS, PR",GW,175957,661234,S,17.99718738,-66.209056,S,NAD27,69,69,--,"0",1987-10-29,2002-08-02,"154"
USGS,"180104066152300","PIEZOMETER RM 10, SALINAS, PR",GW,180104,661523,S,18.01579767,-66.25600109,S,NAD27,37,37,2008-05-14,"8",1988-11-14,2009-03-17,"217"
USGS,"180206066135500","PIEZOMETER RM 5, SALINAS, PR",GW,180206,661355,S,18.03301922,-66.23155637,S,NAD27,34,,--,"0",1988-12-02,2002-10-30,"144"
